frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	242.8241541509701	136.34975341582776	-506.6686710891154	2.1	2.1	basal
1	248.6998387464441	108.26124957235538	-533.8058521071973	2.1	2.1	basal
1	241.50729238578995	114.78028431851018	-536.3654242227675	2.1	2.1	basal
1	248.6973621766755	112.37194548700641	-534.3938345591562	2.1	2.1	basal
1	241.47869980604054	126.28408795985781	-529.5023395595177	2.1	2.1	basal
1	222.5513177053562	113.55819779899356	-527.3390852972095	2.1	2.1	basal
1	259.53822572349304	131.630708786817	-535.0534661328123	2.1	2.1	basal
1	245.8823120792406	122.90259688482347	-528.2300812260853	2.1	2.1	basal
1	233.89031178572978	137.62368079328095	-528.0901214555271	2.1	2.1	basal
1	248.5405280472015	104.67183491707456	-535.2730899774459	2.1	2.1	basal
1	247.10207274762445	135.59257013432088	-527.1029520665943	2.1	2.1	basal
1	246.38344181381117	97.41919494579193	-531.3708512796344	2.1	2.1	basal
1	269.2153700818077	123.2772387165572	-513.0161863719409	2.1	2.1	basal
1	244.24225114321598	105.44598865025944	-543.0181855882987	2.1	2.1	basal
1	249.1640377603915	109.08877696746056	-521.2602472066395	2.1	2.1	basal
1	237.5936758782801	102.57989512909522	-520.452344695678	2.1	2.1	basal
1	232.75665152372616	83.08320278383582	-539.8353070674575	2.1	2.1	basal
1	228.23906920399577	100.29792738416882	-516.5716780962567	2.1	2.1	basal
1	230.15394278578583	105.40239918825176	-517.546152798944	2.1	2.1	basal
1	240.32450941502705	92.92667518522684	-530.913506775521	2.1	2.1	basal
1	240.61532113985376	102.7289110415743	-505.2190895136928	2.1	2.1	basal
1	245.35893615548224	110.29037923678885	-534.1548690730642	2.1	2.1	basal
1	214.76603957360882	104.84697206760384	-524.0990627012053	2.1	2.1	basal
1	239.1095687720332	104.54569210372397	-528.6781629005374	2.1	2.1	basal
1	241.20768292876573	81.8902956753281	-521.9967239875084	2.1	2.1	basal
1	229.37395414243682	93.11266649017695	-532.9851387110908	2.1	2.1	basal
1	224.71396617262062	98.77023030966605	-521.2487588122035	2.1	2.1	basal
1	233.52737713079972	110.67728126279113	-506.04746244736464	2.1	2.1	basal
1	229.84303820659562	94.73623744658765	-527.2010787450782	2.1	2.1	basal
1	245.67726257762	95.00485708612668	-539.3336308413328	2.1	2.1	basal
1	235.41957207636565	98.55349793022866	-518.32397533159	2.1	2.1	basal
1	232.5449655895031	86.71884902869982	-523.8655193072595	2.1	2.1	basal
1	231.99793477132542	91.80296195306657	-541.4523935480785	2.1	2.1	basal
1	221.97348646673794	81.12245581720356	-532.9433900623678	2.1	2.1	basal
1	229.51887033404202	86.37979025639088	-525.9674666272969	2.1	2.1	basal
1	227.3343289535119	83.06817046675759	-532.6265973905802	2.1	2.1	basal
1	230.52517148374335	80.97892843072746	-524.7080474149213	2.1	2.1	basal
1	222.53870979000425	76.07398086999416	-517.0067537759194	2.1	2.1	basal
1	229.54069107083535	94.89162055077057	-525.8812597061087	2.1	2.1	basal
1	238.02049879550935	72.45492085151102	-509.65805113837314	2.1	2.1	basal
1	240.96403010682553	83.72523602153052	-528.6406902961996	2.1	2.1	basal
1	218.59311612893168	69.54713370054685	-538.2611898774596	2.1	2.1	basal
1	236.9249835076041	78.51722923153481	-542.1194034360539	2.1	2.1	basal
1	237.77115132137703	64.40728619425009	-539.8294602533333	2.1	2.1	basal
1	232.23088309230207	94.51292667186519	-542.0076218828897	2.1	2.1	basal
1	233.91036163573781	90.11075997213973	-530.9028154784123	2.1	2.1	basal
1	238.929839893613	60.302659474223915	-537.1045019989789	2.1	2.1	basal
1	227.31640913774862	87.23576944229548	-533.6850199033272	2.1	2.1	basal
1	235.018063225089	62.40264714590181	-535.5853677619762	2.1	2.1	basal
1	235.5732185307783	48.254421431940244	-544.3086438152064	2.1	2.1	basal
1	233.26126359274656	88.67094777015753	-525.8441451169964	2.1	2.1	basal
1	227.6522298830871	76.14871094303248	-543.9065163601296	2.1	2.1	basal
1	242.6822371197982	67.70281266018087	-537.2672472786044	2.1	2.1	basal
1	240.14027615175402	66.43495882836879	-534.8865496967056	2.1	2.1	basal
1	222.60208022431584	74.22613008829414	-536.1246134593537	2.1	2.1	basal
1	219.69600688247795	53.17349074215778	-555.1733094124859	2.1	2.1	basal
1	238.15946495011406	65.68839445552285	-533.9769466662711	2.1	2.1	basal
1	216.91468274133146	48.97577871382384	-537.9836599195567	2.1	2.1	basal
1	221.8586822334029	75.32346715852626	-537.0011548672435	2.1	2.1	basal
1	221.85954398460842	65.30717203782544	-540.3536302490145	2.1	2.1	basal
1	235.46956628419684	64.54259756018115	-540.1897350121968	2.1	2.1	basal
1	231.0151795957099	76.47444917712744	-541.0794188517586	2.1	2.1	basal
1	228.88821647960168	69.92616373967378	-521.393309369579	2.1	2.1	basal
1	214.59857546602288	71.02649869879704	-531.1396585061729	2.1	2.1	basal
1	219.27294215393468	37.977013043600124	-533.9462102666373	2.1	2.1	basal
1	230.47387945387155	60.708827440744834	-543.2947283769968	2.1	2.1	basal
1	227.4016195517468	73.12081720326117	-548.7646241199501	2.1	2.1	basal
1	216.5740480058128	50.42662786067169	-536.548224964233	2.1	2.1	basal
1	243.69447221327516	40.10337325094465	-549.2503178580004	2.1	2.1	basal
1	272.26564051417944	127.68320137808699	-476.6145374533553	2.1	2.1	basal
1	284.2967754011031	151.50096502754008	-478.0612312931023	2.1	2.1	basal
1	296.2391108159519	120.24847884780043	-461.5890401941621	2.1	2.1	basal
1	273.6842318422122	131.87379524842368	-473.58840731000043	2.1	2.1	basal
1	267.7328593173608	131.27988882110864	-470.67886750093544	2.1	2.1	basal
1	270.03003672887894	136.20644550898882	-476.3044719987115	2.1	2.1	basal
1	282.73748294415867	118.02451371410561	-483.57364986714134	2.1	2.1	basal
1	260.16002626165124	141.05900911749086	-466.50321945940345	2.1	2.1	basal
1	262.1663390699291	104.85467999872675	-473.04148991436017	2.1	2.1	basal
1	254.83393265039606	130.540178218835	-470.4134395715723	2.1	2.1	basal
1	270.0424071396532	134.87818493752604	-480.0754404020982	2.1	2.1	basal
1	259.6255232115349	125.12659003284487	-472.36432385386036	2.1	2.1	basal
1	268.63455092254566	130.2492409090952	-483.84810931714253	2.1	2.1	basal
1	259.92003616262053	138.56820175487215	-477.0983240785971	2.1	2.1	basal
1	269.4631121084083	145.7379533666515	-474.69875451905324	2.1	2.1	basal
1	272.6624946417657	127.90531313931878	-479.9782948421949	2.1	2.1	basal
1	251.4042321833952	129.50172022211655	-475.46374657412093	2.1	2.1	basal
1	246.69338513718347	120.49577284968129	-481.3261075058306	2.1	2.1	basal
1	248.55693183854666	119.0592282471848	-486.75780197967674	2.1	2.1	basal
1	279.7519164397819	122.69959632974764	-472.77067000131336	2.1	2.1	basal
1	272.6875908406623	127.9706361727558	-494.034619193957	2.1	2.1	basal
1	284.74380988307666	139.63651111282178	-487.48545209623245	2.1	2.1	basal
1	288.5072705641482	132.38030188927792	-489.56946441341466	2.1	2.1	basal
1	259.8934084787774	130.32252204441326	-480.6880961290899	2.1	2.1	basal
1	258.86983483523136	125.15320298529736	-478.18016520260403	2.1	2.1	basal
1	251.1600403754353	117.15493220335499	-489.6663536338677	2.1	2.1	basal
1	270.79992164984196	134.74761776224886	-487.2035374415397	2.1	2.1	basal
1	276.3228597623168	136.26129841422798	-478.30858308400394	2.1	2.1	basal
1	247.63271059512914	135.22393816690635	-487.2536518603653	2.1	2.1	basal
1	271.8845024104744	133.66340939082852	-493.24036149675715	2.1	2.1	basal
1	275.0576199790889	132.60559818188509	-505.20747955632623	2.1	2.1	basal
1	258.3083630016773	141.9494100666316	-489.7444948025847	2.1	2.1	basal
1	259.73591342924436	133.0932694669599	-493.7068427170809	2.1	2.1	basal
