frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z
1	0.4614742923265841	0.07464620110371242	-0.6476518160452062	2.1	2.1
1	0.47388511587068693	0.08962292033979424	-0.6737574991693522	2.1	2.1
1	0.4862959394147899	0.10459963957587608	-0.6998631822934982	2.1	2.1
1	0.4987067629588927	0.11957635881195791	-0.7259688654176442	2.1	2.1
1	0.5111175865029957	0.13455307804803973	-0.7520745485417902	2.1	2.1
1	0.5235284100470985	0.14952979728412155	-0.7781802316659362	2.1	2.1
1	0.5359392335912014	0.16450651652020337	-0.8042859147900823	2.1	2.1
1	0.5483500571353043	0.17948323575628522	-0.8303915979142282	2.1	2.1
1	0.5607608806794072	0.194459954992367	-0.8564972810383743	2.1	2.1
1	0.57317170422351	0.20943667422844886	-0.8826029641625203	2.1	2.1
1	0.585582527767613	0.22441339346453065	-0.9087086472866663	2.1	2.1
1	0.5979933513117158	0.2393901127006125	-0.9348143304108123	2.1	2.1
1	0.46835227324189843	0.07729270387558423	-0.637209832981814	2.1	2.1
1	0.49451905861663004	0.09756242865540965	-0.6424315499791757	2.1	2.1
1	0.5206858439913616	0.11783215343523509	-0.6476532669765375	2.1	2.1
1	0.5468526293660934	0.13810187821506054	-0.6528749839738992	2.1	2.1
1	0.573019414740825	0.15837160299488595	-0.6580967009712609	2.1	2.1
1	0.5991862001155566	0.17864132777471137	-0.6633184179686227	2.1	2.1
1	0.6253529854902882	0.19891105255453684	-0.6685401349659844	2.1	2.1
1	0.6515197708650198	0.21918077733436225	-0.6737618519633461	2.1	2.1
1	0.6776865562397514	0.23945050211418767	-0.6789835689607079	2.1	2.1
1	0.7038533416144831	0.2597202268940131	-0.6842052859580696	2.1	2.1
1	0.7300201269892147	0.27998995167383856	-0.6894270029554314	2.1	2.1
1	0.4579155366298136	0.06254188315908298	-0.6505341749029041	2.1	2.1
1	0.4632088487803756	0.053309966505905894	-0.6824045757424461	2.1	2.1
1	0.46850216093093755	0.04407804985272881	-0.7142749765819879	2.1	2.1
1	0.47379547308149955	0.03484613319955174	-0.7461453774215299	2.1	2.1
1	0.47908878523206155	0.02561421654637465	-0.7780157782610717	2.1	2.1
