frame	x [nm]	y [nm]	z [nm]	uncertainty_xy	uncertainty_z	segment
1	596.1772456272229	262.3485284841504	-947.5053543719521	2.1	2.1	sagittal
1	606.4569889126773	243.35056109751028	-960.8433128383493	2.1	2.1	sagittal
1	590.8560896953205	234.6810211706521	-951.217644067529	2.1	2.1	sagittal
1	591.1125642553401	220.4026869798134	-956.9678554082035	2.1	2.1	sagittal
1	604.347227759916	214.65261084540003	-941.7717490283194	2.1	2.1	sagittal
1	592.6654700450283	203.68490945006658	-951.1503148297105	2.1	2.1	sagittal
1	599.8241230693413	189.73265636623842	-957.1672783820426	2.1	2.1	sagittal
1	578.9100590795728	178.57959456612272	-956.3803858425345	2.1	2.1	sagittal
1	578.4494210442817	167.93407417577987	-977.1371012010634	2.1	2.1	sagittal
1	578.9779661788857	155.73377041554429	-965.4643388393345	2.1	2.1	sagittal
1	568.2079859107815	137.5498391405972	-953.9998430198366	2.1	2.1	sagittal
1	568.1633153082573	119.20203486460625	-951.177276880664	2.1	2.1	sagittal
1	571.0968081659768	112.2473964612294	-961.004580261344	2.1	2.1	sagittal
1	572.1270180438668	113.14288469346309	-961.2570057288902	2.1	2.1	sagittal
1	555.3606341033304	105.13186353409355	-962.8106101477531	2.1	2.1	sagittal
1	564.7599868040273	110.69475689913709	-960.3001879011006	2.1	2.1	sagittal
1	543.1240178395564	77.76566401423364	-980.4225003719936	2.1	2.1	sagittal
1	546.3753590393386	67.70704655324951	-977.8771835654383	2.1	2.1	sagittal
1	529.8062676917156	73.79792853740918	-959.5085955235945	2.1	2.1	sagittal
1	548.7999259419663	59.53250216673993	-980.2270176503333	2.1	2.1	sagittal
1	536.6639550582416	47.17475917110075	-987.7828799840851	2.1	2.1	sagittal
1	537.689818329077	22.37603446076466	-977.5063556911786	2.1	2.1	sagittal
1	511.62749843084123	24.681323449490893	-978.0565302380393	2.1	2.1	sagittal
1	551.5122341471697	13.030942752499213	-966.6803324091055	2.1	2.1	sagittal
1	520.5124026461057	3.436143761321823	-996.8505203328255	2.1	2.1	sagittal
1	537.3291890859792	-6.828409827023572	-984.9015278100292	2.1	2.1	sagittal
1	514.9229696653205	-11.536860709697878	-980.7933653745483	2.1	2.1	sagittal
1	515.9897892706003	-29.369119037820923	-991.5918317399687	2.1	2.1	sagittal
1	519.758670086581	-32.083549273653404	-1004.2675653503759	2.1	2.1	sagittal
1	509.5061949787545	-32.96781636171229	-974.8255461398779	2.1	2.1	sagittal
1	503.71558791841017	-23.790918260344043	-990.3021499375474	2.1	2.1	sagittal
1	500.9679839854494	-29.69036660847577	-983.4753532463315	2.1	2.1	sagittal
1	490.98116787871	-35.419939051061064	-969.1827490919803	2.1	2.1	sagittal
1	487.8820653132713	-29.77072028834554	-949.8874757454397	2.1	2.1	sagittal
1	488.95931263595725	-23.890547845736453	-950.3744882699185	2.1	2.1	sagittal
1	479.9754103593477	-21.91128809326531	-939.0312136153256	2.1	2.1	sagittal
1	478.0317365527867	-31.37830319906036	-917.0685750674102	2.1	2.1	sagittal
1	469.06837567350465	-25.252708358908404	-932.4785190863633	2.1	2.1	sagittal
1	463.7905540781038	-16.578726990930367	-914.8659498953384	2.1	2.1	sagittal
1	449.0774560816516	-7.157836891440141	-914.9087772085331	2.1	2.1	sagittal
